sku,name,description,price,discount,quantity,weight,seo title,seo description,user friendly url,type,categories,hidden,shipping required,option:Variant,option:Rarity,option:Artist,variant:Artist,variant sku,variant price,variant discount,variant quantity,variant weight,productId
me3-1-norm,Meg - POR - 1 - Spinarak - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 001/088</p>,1.0,0.0,0.0,0.0,Meg - POR - 1 - Spinarak - COMMON - Normal,Meg - POR - 1 - Spinarak - COMMON - Normal,meg-por-1-spinarak-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684397
me3-1-rev,Meg - POR - 1 - Spinarak - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 001/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 1 - Spinarak - COMMON - Reverse Holo,Meg - POR - 1 - Spinarak - COMMON - Reverse Holo,meg-por-1-spinarak-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684397
me3-2-norm,Meg - POR - 2 - Ariados - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 002/088</p>,1.5,0.0,0.0,0.0,Meg - POR - 2 - Ariados - COMMON - Normal,Meg - POR - 2 - Ariados - COMMON - Normal,meg-por-2-ariados-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684398
me3-2-rev,Meg - POR - 2 - Ariados - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 002/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 2 - Ariados - COMMON - Reverse Holo,Meg - POR - 2 - Ariados - COMMON - Reverse Holo,meg-por-2-ariados-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684398
me3-3-norm,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 003/088</p>,2.0,0.0,0.0,0.0,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,Meg - POR - 3 - Shaymin - UNCOMMON - Normal,meg-por-3-shaymin-uncommon-normal,Uncommon,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,UNCOMMON,Unknown,,,,,,,684399
me3-3-rev,Meg - POR - 3 - Shaymin - UNCOMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 003/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 3 - Shaymin - UNCOMMON - Reverse Holo,Meg - POR - 3 - Shaymin - UNCOMMON - Reverse Holo,meg-por-3-shaymin-uncommon-reverse-holo,Uncommon (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,UNCOMMON,Unknown,,,,,,,684399
me3-4-norm,Meg - POR - 4 - Snivy - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 004/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 4 - Snivy - COMMON - Normal,Meg - POR - 4 - Snivy - COMMON - Normal,meg-por-4-snivy-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684400
me3-4-rev,Meg - POR - 4 - Snivy - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 004/088</p>,5.5,0.0,0.0,0.0,Meg - POR - 4 - Snivy - COMMON - Reverse Holo,Meg - POR - 4 - Snivy - COMMON - Reverse Holo,meg-por-4-snivy-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684400
me3-5-norm,Meg - POR - 5 - Servine - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 005/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 5 - Servine - COMMON - Normal,Meg - POR - 5 - Servine - COMMON - Normal,meg-por-5-servine-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684401
me3-5-rev,Meg - POR - 5 - Servine - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 005/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 5 - Servine - COMMON - Reverse Holo,Meg - POR - 5 - Servine - COMMON - Reverse Holo,meg-por-5-servine-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684401
me3-6-rev,Meg - POR - 6 - Serperior - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 006/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 6 - Serperior - RARE - Reverse Holo,Meg - POR - 6 - Serperior - RARE - Reverse Holo,meg-por-6-serperior-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,RARE,Unknown,,,,,,,684402
me3-6-holo,Meg - POR - 6 - Serperior - RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 006/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 6 - Serperior - RARE - Holofoil,Meg - POR - 6 - Serperior - RARE - Holofoil,meg-por-6-serperior-rare-holofoil,Rare,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Holofoil,RARE,Unknown,,,,,,,684402
me3-7-norm,Meg - POR - 7 - Scatterbug - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 007/088</p>,2.0,0.0,0.0,0.0,Meg - POR - 7 - Scatterbug - COMMON - Normal,Meg - POR - 7 - Scatterbug - COMMON - Normal,meg-por-7-scatterbug-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684363
me3-7-rev,Meg - POR - 7 - Scatterbug - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 007/088</p>,4.5,0.0,0.0,0.0,Meg - POR - 7 - Scatterbug - COMMON - Reverse Holo,Meg - POR - 7 - Scatterbug - COMMON - Reverse Holo,meg-por-7-scatterbug-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684363
me3-8-norm,Meg - POR - 8 - Spewpa - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 008/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 8 - Spewpa - COMMON - Normal,Meg - POR - 8 - Spewpa - COMMON - Normal,meg-por-8-spewpa-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684364
me3-8-rev,Meg - POR - 8 - Spewpa - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 008/088</p>,5.5,0.0,0.0,0.0,Meg - POR - 8 - Spewpa - COMMON - Reverse Holo,Meg - POR - 8 - Spewpa - COMMON - Reverse Holo,meg-por-8-spewpa-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684364
me3-9-norm,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 009/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,Meg - POR - 9 - Vivillon - UNCOMMON - Normal,meg-por-9-vivillon-uncommon-normal,Uncommon,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,UNCOMMON,Unknown,,,,,,,684366
me3-9-rev,Meg - POR - 9 - Vivillon - UNCOMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 009/088</p>,3.5,0.0,0.0,0.0,Meg - POR - 9 - Vivillon - UNCOMMON - Reverse Holo,Meg - POR - 9 - Vivillon - UNCOMMON - Reverse Holo,meg-por-9-vivillon-uncommon-reverse-holo,Uncommon (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,UNCOMMON,Unknown,,,,,,,684366
me3-10-norm,Meg - POR - 10 - Rowlet - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 010/088</p>,3.0,0.0,0.0,0.0,Meg - POR - 10 - Rowlet - COMMON - Normal,Meg - POR - 10 - Rowlet - COMMON - Normal,meg-por-10-rowlet-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684367
me3-10-rev,Meg - POR - 10 - Rowlet - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 010/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 10 - Rowlet - COMMON - Reverse Holo,Meg - POR - 10 - Rowlet - COMMON - Reverse Holo,meg-por-10-rowlet-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684367
me3-11-norm,Meg - POR - 11 - Dartrix - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 011/088</p>,3.0,0.0,0.0,0.0,Meg - POR - 11 - Dartrix - COMMON - Normal,Meg - POR - 11 - Dartrix - COMMON - Normal,meg-por-11-dartrix-common-normal,Common,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684369
me3-11-rev,Meg - POR - 11 - Dartrix - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 011/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 11 - Dartrix - COMMON - Reverse Holo,Meg - POR - 11 - Dartrix - COMMON - Reverse Holo,meg-por-11-dartrix-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Grass; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684369
me3-12-holo,Meg - POR - 12 - Decidueye ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: DOUBLE_RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 012/088</p>,10.0,0.0,0.0,0.0,Meg - POR - 12 - Decidueye ex - DOUBLE_RARE - Holofoil,Meg - POR - 12 - Decidueye ex - DOUBLE_RARE - Holofoil,meg-por-12-decidueye-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Grass; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,Unknown,,,,,,,684370
me3-13-norm,Meg - POR - 13 - Fletchinder - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 013/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 13 - Fletchinder - COMMON - Normal,Meg - POR - 13 - Fletchinder - COMMON - Normal,meg-por-13-fletchinder-common-normal,Common,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684404
me3-13-rev,Meg - POR - 13 - Fletchinder - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 013/088</p>,4.5,0.0,0.0,0.0,Meg - POR - 13 - Fletchinder - COMMON - Reverse Holo,Meg - POR - 13 - Fletchinder - COMMON - Reverse Holo,meg-por-13-fletchinder-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Fire; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684404
me3-14-norm,Meg - POR - 14 - Talonflame - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 014/088</p>,3.0,0.0,0.0,0.0,Meg - POR - 14 - Talonflame - UNCOMMON - Normal,Meg - POR - 14 - Talonflame - UNCOMMON - Normal,meg-por-14-talonflame-uncommon-normal,Uncommon,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Normal,UNCOMMON,Unknown,,,,,,,684405
me3-14-rev,Meg - POR - 14 - Talonflame - UNCOMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 014/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 14 - Talonflame - UNCOMMON - Reverse Holo,Meg - POR - 14 - Talonflame - UNCOMMON - Reverse Holo,meg-por-14-talonflame-uncommon-reverse-holo,Uncommon (Rev Holo),Mega Evolution Era; Fire; Pokémon Cards,,1.0,Reverse Holo,UNCOMMON,Unknown,,,,,,,684405
me3-15-norm,Meg - POR - 15 - Salandit - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 015/088</p>,3.0,0.0,0.0,0.0,Meg - POR - 15 - Salandit - COMMON - Normal,Meg - POR - 15 - Salandit - COMMON - Normal,meg-por-15-salandit-common-normal,Common,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684382
me3-15-rev,Meg - POR - 15 - Salandit - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 015/088</p>,4.0,0.0,0.0,0.0,Meg - POR - 15 - Salandit - COMMON - Reverse Holo,Meg - POR - 15 - Salandit - COMMON - Reverse Holo,meg-por-15-salandit-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Fire; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684382
me3-16-holo,Meg - POR - 16 - Salazzle ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: DOUBLE_RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 016/088</p>,9.5,0.0,0.0,0.0,Meg - POR - 16 - Salazzle ex - DOUBLE_RARE - Holofoil,Meg - POR - 16 - Salazzle ex - DOUBLE_RARE - Holofoil,meg-por-16-salazzle-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,Unknown,,,,,,,684376
me3-17-norm,Meg - POR - 17 - Turtonator - UNCOMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 017/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 17 - Turtonator - UNCOMMON - Normal,Meg - POR - 17 - Turtonator - UNCOMMON - Normal,meg-por-17-turtonator-uncommon-normal,Uncommon,Mega Evolution Era; Fire; Pokémon Cards,,1.0,Normal,UNCOMMON,Unknown,,,,,,,684407
me3-17-rev,Meg - POR - 17 - Turtonator - UNCOMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: UNCOMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 017/088</p>,4.5,0.0,0.0,0.0,Meg - POR - 17 - Turtonator - UNCOMMON - Reverse Holo,Meg - POR - 17 - Turtonator - UNCOMMON - Reverse Holo,meg-por-17-turtonator-uncommon-reverse-holo,Uncommon (Rev Holo),Mega Evolution Era; Fire; Pokémon Cards,,1.0,Reverse Holo,UNCOMMON,Unknown,,,,,,,684407
me3-18-norm,Meg - POR - 18 - Seel - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 018/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 18 - Seel - COMMON - Normal,Meg - POR - 18 - Seel - COMMON - Normal,meg-por-18-seel-common-normal,Common,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684372
me3-18-rev,Meg - POR - 18 - Seel - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 018/088</p>,4.0,0.0,0.0,0.0,Meg - POR - 18 - Seel - COMMON - Reverse Holo,Meg - POR - 18 - Seel - COMMON - Reverse Holo,meg-por-18-seel-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Water; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684372
me3-19-rev,Meg - POR - 19 - Dewgong - RARE - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 019/088</p>,5.0,0.0,0.0,0.0,Meg - POR - 19 - Dewgong - RARE - Reverse Holo,Meg - POR - 19 - Dewgong - RARE - Reverse Holo,meg-por-19-dewgong-rare-reverse-holo,Rare (Rev Holo),Mega Evolution Era; Water; Pokémon Cards,,1.0,Reverse Holo,RARE,Unknown,,,,,,,684373
me3-19-holo,Meg - POR - 19 - Dewgong - RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 019/088</p>,3.0,0.0,0.0,0.0,Meg - POR - 19 - Dewgong - RARE - Holofoil,Meg - POR - 19 - Dewgong - RARE - Holofoil,meg-por-19-dewgong-rare-holofoil,Rare,Mega Evolution Era; Water; Pokémon Cards,,1.0,Holofoil,RARE,Unknown,,,,,,,684373
me3-20-norm,Meg - POR - 20 - Staryu - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 020/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 20 - Staryu - COMMON - Normal,Meg - POR - 20 - Staryu - COMMON - Normal,meg-por-20-staryu-common-normal,Common,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684374
me3-20-rev,Meg - POR - 20 - Staryu - COMMON - Reverse Holo,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 020/088</p>,5.5,0.0,0.0,0.0,Meg - POR - 20 - Staryu - COMMON - Reverse Holo,Meg - POR - 20 - Staryu - COMMON - Reverse Holo,meg-por-20-staryu-common-reverse-holo,Common (Rev Holo),Mega Evolution Era; Water; Pokémon Cards,,1.0,Reverse Holo,COMMON,Unknown,,,,,,,684374
me3-21-holo,Meg - POR - 21 - Mega Starmie ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: DOUBLE_RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 021/088</p>,15.5,0.0,0.0,0.0,Meg - POR - 21 - Mega Starmie ex - DOUBLE_RARE - Holofoil,Meg - POR - 21 - Mega Starmie ex - DOUBLE_RARE - Holofoil,meg-por-21-mega-starmie-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Water; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,Unknown,,,,,,,684360
me3-22-holo,Meg - POR - 22 - Lapras ex - DOUBLE_RARE - Holofoil,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: DOUBLE_RARE<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 022/088</p>,9.0,0.0,0.0,0.0,Meg - POR - 22 - Lapras ex - DOUBLE_RARE - Holofoil,Meg - POR - 22 - Lapras ex - DOUBLE_RARE - Holofoil,meg-por-22-lapras-ex-double-rare-holofoil,Double Rare,Mega Evolution Era; Water; Pokémon Cards,,1.0,Holofoil,DOUBLE_RARE,Unknown,,,,,,,684329
me3-23-norm,Meg - POR - 23 - Amaura - COMMON - Normal,<p>Series: Mega Evolution<br />\nSet: Perfect Order<br />\nRarity: COMMON<br />\nRelease Date: 2025/12/19<br />\nArtist: Unknown<br />\nNumber in Set: 023/088</p>,2.5,0.0,0.0,0.0,Meg - POR - 23 - Amaura - COMMON - Normal,Meg - POR - 23 - Amaura - COMMON - Normal,meg-por-23-amaura-common-normal,Common,Mega Evolution Era; Water; Pokémon Cards,,1.0,Normal,COMMON,Unknown,,,,,,,684355
